Country,R0,Strategy,Social_distance,Deaths per week at trigger,total_pop,total_infected,total_deaths,total_hospital,peak_hospital_bed_demand,total_critical,peak_critical_bed_demand
Guinea-Bissau,3,"0.2 deaths per 100,000 per week trigger",0.75,3.935996,1967998,179138,482,3257,975,640,175
Guyana,3,"0.2 deaths per 100,000 per week trigger",0.75,1.573118,786559,72118,217,1365,417,292,81
Haiti,3,"0.2 deaths per 100,000 per week trigger",0.75,22.805066,11402533,1157945,2964,19275,5942,3954,1100
Honduras,3,"0.2 deaths per 100,000 per week trigger",0.75,19.809216,9904608,1257000,3334,21041,6770,4395,1325
Hungary,3,"0.2 deaths per 100,000 per week trigger",0.75,19.3207,9660350,953786,4702,27799,8812,6220,1785
Iceland,3,"0.2 deaths per 100,000 per week trigger",0.75,0.6825,341250,22461,94,570,169,122,33
India,3,"0.2 deaths per 100,000 per week trigger",0.75,2760.00877,1380004385,73837342,325819,1907028,555521,430975,115920
Indonesia,3,"0.2 deaths per 100,000 per week trigger",0.75,547.047242,273523621,14016991,58302,402381,111762,76764,19065
Iran (Islamic Republic of),3,"0.2 deaths per 100,000 per week trigger",0.75,167.985906,83992953,5079751,22115,150053,42954,29259,7790
Iraq,3,"0.2 deaths per 100,000 per week trigger",0.75,80.445006,40222503,3532588,11421,82975,24962,15417,4332
Ireland,3,"0.2 deaths per 100,000 per week trigger",0.75,9.875592,4937796,268824,1055,6656,1911,1366,355
Israel,3,"0.2 deaths per 100,000 per week trigger",0.75,17.311082,8655541,726102,2546,16312,4883,3437,914
Italy,3,"0.2 deaths per 100,000 per week trigger",0.75,120.923656,60461828,2312595,15031,78619,22779,19414,5142
Jamaica,3,"0.2 deaths per 100,000 per week trigger",0.75,5.922322,2961161,216973,781,4562,1370,1053,286
Japan,3,"0.2 deaths per 100,000 per week trigger",0.75,252.952916,126476458,4858106,30506,154225,44646,40238,10232
Jordan,3,"0.2 deaths per 100,000 per week trigger",0.75,20.40628,10203140,827991,2952,20763,6153,3889,1067
Kazakhstan,3,"0.2 deaths per 100,000 per week trigger",0.75,37.553414,18776707,2026180,6159,44972,13885,8498,2425
Kenya,3,"0.2 deaths per 100,000 per week trigger",0.75,107.5426,53771300,4757910,12421,86480,25633,16699,4511
Kiribati,3,"0.2 deaths per 100,000 per week trigger",0.75,0.238892,119446,8630,31,217,63,40,10
Kuwait,3,"0.2 deaths per 100,000 per week trigger",0.75,8.541126,4270563,189252,786,5930,1667,1049,273
Kyrgyz Republic,3,"0.2 deaths per 100,000 per week trigger",0.75,13.048382,6524191,737551,1944,14494,4474,2630,746
Lao PDR,3,"0.2 deaths per 100,000 per week trigger",0.75,14.551112,7275556,614707,2257,15693,4659,2866,790
Latvia,3,"0.2 deaths per 100,000 per week trigger",0.75,3.772404,1886202,110624,561,3245,975,770,208
Lebanon,3,"0.2 deaths per 100,000 per week trigger",0.75,13.650884,6825442,410756,1731,11626,3267,2319,613
Lesotho,3,"0.2 deaths per 100,000 per week trigger",0.75,4.284504,2142252,143559,497,3102,898,657,172
Liberia,3,"0.2 deaths per 100,000 per week trigger",0.75,10.115354,5057677,575509,1662,10827,3340,2202,602
Libya,3,"0.2 deaths per 100,000 per week trigger",0.75,13.742574,6871287,359546,1400,9903,2825,1867,485
Lithuania,3,"0.2 deaths per 100,000 per week trigger",0.75,5.444582,2722291,69988,353,2048,577,491,123
Luxembourg,3,"0.2 deaths per 100,000 per week trigger",0.75,1.251952,625976,40120,167,1118,327,223,61
Madagascar,3,"0.2 deaths per 100,000 per week trigger",0.75,55.382038,27691019,3037565,8563,56902,17553,11357,3193
Malawi,3,"0.2 deaths per 100,000 per week trigger",0.75,38.25991,19129955,1997126,5118,34767,10490,6843,1918
Malaysia,3,"0.2 deaths per 100,000 per week trigger",0.75,64.731996,32365998,1815886,7459,51485,14602,10053,2570
Maldives,3,"0.2 deaths per 100,000 per week trigger",0.75,1.081084,540542,47105,174,1123,337,237,64
Mali,3,"0.2 deaths per 100,000 per week trigger",0.75,40.501668,20250834,2111796,5245,35528,10824,7047,1941
Malta,3,"0.2 deaths per 100,000 per week trigger",0.75,0.883078,441539,23586,117,690,203,158,43
Martinique,3,"0.2 deaths per 100,000 per week trigger",0.75,0.75053,375265,8969,63,284,81,82,20
Mauritania,3,"0.2 deaths per 100,000 per week trigger",0.75,9.29932,4649660,362912,1058,6931,2014,1410,372
Mauritius,3,"0.2 deaths per 100,000 per week trigger",0.75,2.543534,1271767,70047,437,2286,655,572,145
Mayotte,3,"0.2 deaths per 100,000 per week trigger",0.75,0.545626,272813,15779,53,317,89,69,17
Mexico,3,"0.2 deaths per 100,000 per week trigger",0.75,257.865506,128932753,9610873,30280,188313,56653,40569,11230
Micronesia (Fed. States of),3,"0.2 deaths per 100,000 per week trigger",0.75,0.230042,115021,7468,27,192,55,35,9
Mongolia,3,"0.2 deaths per 100,000 per week trigger",0.75,6.556584,3278292,230730,933,6360,1844,1187,319
Montenegro,3,"0.2 deaths per 100,000 per week trigger",0.75,1.256124,628062,50183,211,1322,398,280,78
Morocco,3,"0.2 deaths per 100,000 per week trigger",0.75,73.821116,36910558,1781274,7301,50495,14000,9796,2549
Mozambique,3,"0.2 deaths per 100,000 per week trigger",0.75,62.51087,31255435,3426897,9088,60387,18624,12258,3527
Myanmar,3,"0.2 deaths per 100,000 per week trigger",0.75,108.819588,54409794,3830050,15654,108069,30899,20793,5444
Namibia,3,"0.2 deaths per 100,000 per week trigger",0.75,5.081832,2540916,252679,762,4986,1513,1029,282
Nepal,3,"0.2 deaths per 100,000 per week trigger",0.75,58.273616,29136808,2329717,9474,56327,16446,12632,3294
Netherlands,3,"0.2 deaths per 100,000 per week trigger",0.75,34.269746,17134873,683884,3293,19461,5565,4400,1135
New Caledonia,3,"0.2 deaths per 100,000 per week trigger",0.75,0.570982,285491,22919,106,700,207,144,39
New Zealand,3,"0.2 deaths per 100,000 per week trigger",0.75,9.644466,4822233,275888,1179,7229,2113,1568,421
Nicaragua,3,"0.2 deaths per 100,000 per week trigger",0.75,13.249108,6624554,729773,2025,12824,4067,2659,757
Niger,3,"0.2 deaths per 100,000 per week trigger",0.75,48.413272,24206636,2324664,5788,38892,11875,7769,2177
Nigeria,3,"0.2 deaths per 100,000 per week trigger",0.75,412.279174,206139587,21276955,55101,381801,115345,73035,20325
North Macedonia,3,"0.2 deaths per 100,000 per week trigger",0.75,4.16676,2083380,162610,649,4294,1310,871,239
Norway,3,"0.2 deaths per 100,000 per week trigger",0.75,10.842484,5421242,316775,1435,8422,2473,1829,482
Oman,3,"0.2 deaths per 100,000 per week trigger",0.75,10.213244,5106622,296665,1066,8119,2343,1394,369
Pakistan,3,"0.2 deaths per 100,000 per week trigger",0.75,441.784662,220892331,19380541,73115,434109,130779,95348,26032
Panama,3,"0.2 deaths per 100,000 per week trigger",0.75,8.629536,4314768,308201,1059,6155,1844,1402,379
Papua New Guinea,3,"0.2 deaths per 100,000 per week trigger",0.75,17.894054,8947027,881597,2982,21592,6576,3931,1099
Paraguay,3,"0.2 deaths per 100,000 per week trigger",0.75,14.26506,7132530,450072,1289,7993,2295,1699,430
Peru,3,"0.2 deaths per 100,000 per week trigger",0.75,65.943692,32971846,2833164,9730,58124,18167,12965,3620
Philippines,3,"0.2 deaths per 100,000 per week trigger",0.75,219.16217,109581085,4994311,18842,132434,36480,25379,6580
Poland,3,"0.2 deaths per 100,000 per week trigger",0.75,75.69321,37846605,1377467,6867,42434,12084,9320,2354
Portugal,3,"0.2 deaths per 100,000 per week trigger",0.75,20.393414,10196707,698261,3816,21390,6455,5138,1365
Puerto Rico,3,"0.2 deaths per 100,000 per week trigger",0.75,5.72168,2860840,145927,987,4515,1371,1306,347
Qatar,3,"0.2 deaths per 100,000 per week trigger",0.75,5.76212,2881060,160624,577,4648,1340,776,216
"Korea, Rep.",3,"0.2 deaths per 100,000 per week trigger",0.75,102.538366,51269183,3900608,17913,112810,34189,23681,6673
Moldova,3,"0.2 deaths per 100,000 per week trigger",0.75,8.067926,4033963,162118,592,4111,1185,784,202
Réunion,3,"0.2 deaths per 100,000 per week trigger",0.75,1.790616,895308,41543,181,982,290,242,64
Romania,3,"0.2 deaths per 100,000 per week trigger",0.75,38.475364,19237682,669290,3055,19101,5441,4231,1098
Russian Federation,3,"0.2 deaths per 100,000 per week trigger",0.75,291.86892,145934460,12135910,50698,326886,98593,68903,19023
Rwanda,3,"0.2 deaths per 100,000 per week trigger",0.75,25.904418,12952209,1513443,4145,28570,8837,5631,1588
St. Lucia,3,"0.2 deaths per 100,000 per week trigger",0.75,0.367258,183629,13935,58,328,101,77,21
St. Vincent and the Grenadines,3,"0.2 deaths per 100,000 per week trigger",0.75,0.221894,110947,8052,31,178,54,41,11
Samoa,3,"0.2 deaths per 100,000 per week trigger",0.75,0.39682,198410,12337,45,313,89,60,16
Sao Tome and Principe,3,"0.2 deaths per 100,000 per week trigger",0.75,0.438322,219161,25564,73,475,148,97,28
Saudi Arabia,3,"0.2 deaths per 100,000 per week trigger",0.75,69.627734,34813867,1668281,6500,47726,13281,8643,2216
Senegal,3,"0.2 deaths per 100,000 per week trigger",0.75,33.48786,16743930,1011591,2814,18669,5416,3706,971
Serbia,3,"0.2 deaths per 100,000 per week trigger",0.75,17.47474,8737370,539924,2423,14674,4361,3243,875
Seychelles,3,"0.2 deaths per 100,000 per week trigger",0.75,0.19668,98340,5777,29,165,48,39,10
Sierra Leone,3,"0.2 deaths per 100,000 per week trigger",0.75,15.95397,7976985,478061,1337,8881,2532,1772,457
Singapore,3,"0.2 deaths per 100,000 per week trigger",0.75,11.700686,5850343,165717,1641,8120,2232,2137,520
Slovakia,3,"0.2 deaths per 100,000 per week trigger",0.75,10.919286,5459643,408089,1763,11182,3323,2323,612
Slovenia,3,"0.2 deaths per 100,000 per week trigger",0.75,4.157864,2078932,73220,364,2122,605,473,125
Solomon Islands,3,"0.2 deaths per 100,000 per week trigger",0.75,1.373756,686878,49173,167,1168,343,218,59
Somalia,3,"0.2 deaths per 100,000 per week trigger",0.75,31.786438,15893219,1706656,4554,29880,9279,5979,1737
South Africa,3,"0.2 deaths per 100,000 per week trigger",0.75,118.61738,59308690,3961213,15438,106575,30600,20263,5362
South Sudan,3,"0.2 deaths per 100,000 per week trigger",0.75,22.387458,11193729,763103,2197,14264,4073,2891,790
Spain,3,"0.2 deaths per 100,000 per week trigger",0.75,93.509566,46754783,3300993,17058,97423,29353,22367,6118
Sri Lanka,3,"0.2 deaths per 100,000 per week trigger",0.75,42.8265,21413250,1253461,6961,37859,10936,9201,2452
State of Palestine,3,"0.2 deaths per 100,000 per week trigger",0.75,10.202832,5101416,306610,990,7193,2088,1318,357
Sudan,3,"0.2 deaths per 100,000 per week trigger",0.75,87.698538,43849269,4131092,12370,80003,23867,16327,4413
Suriname,3,"0.2 deaths per 100,000 per week trigger",0.75,1.173268,586634,58455,185,1137,352,243,69
Sweden,3,"0.2 deaths per 100,000 per week trigger",0.75,20.19854,10099270,701216,3395,19513,5791,4570,1203
Switzerland,3,"0.2 deaths per 100,000 per week trigger",0.75,17.309236,8654618,431744,2053,12306,3535,2772,727
Syrian Arab Republic,3,"0.2 deaths per 100,000 per week trigger",0.75,35.001314,17500657,1203371,4190,26658,7701,5687,1543
Tajikistan,3,"0.2 deaths per 100,000 per week trigger",0.75,19.075284,9537642,839624,1931,15234,4524,2503,676
Thailand,3,"0.2 deaths per 100,000 per week trigger",0.75,139.599956,69799978,3191552,17059,106881,30464,22552,5902
Timor-Leste,3,"0.2 deaths per 100,000 per week trigger",0.75,2.636884,1318442,105737,350,2494,747,470,130
Togo,3,"0.2 deaths per 100,000 per week trigger",0.75,16.557474,8278737,827218,2251,15316,4608,2961,836
Tonga,3,"0.2 deaths per 100,000 per week trigger",0.75,0.211394,105697,6215,23,156,45,31,8
Trinidad and Tobago,3,"0.2 deaths per 100,000 per week trigger",0.75,2.798982,1399491,125306,526,3013,945,709,195
Tunisia,3,"0.2 deaths per 100,000 per week trigger",0.75,23.637236,11818618,548760,2727,15231,4282,3546,903
Turkey,3,"0.2 deaths per 100,000 per week trigger",0.75,168.678134,84339067,10571366,34178,238983,75631,44539,12891
Turkmenistan,3,"0.2 deaths per 100,000 per week trigger",0.75,12.062374,6031187,582026,1531,11520,3396,2021,562
Uganda,3,"0.2 deaths per 100,000 per week trigger",0.75,91.482,45741000,6292587,14564,102499,33009,19271,5752
Ukraine,3,"0.2 deaths per 100,000 per week trigger",0.75,87.467518,43733759,2725250,12202,75679,22250,15891,4292
United Arab Emirates,3,"0.2 deaths per 100,000 per week trigger",0.75,19.7808,9890400,786349,2664,22326,6620,3579,1041
United Kingdom,3,"0.2 deaths per 100,000 per week trigger",0.75,135.772008,67886004,3805866,21825,117324,34153,28865,7386
Tanzania,3,"0.2 deaths per 100,000 per week trigger",0.75,119.468426,59734213,7095696,18589,125484,39275,24781,7153
United States,3,"0.2 deaths per 100,000 per week trigger",0.75,662.005294,331002647,16267291,84124,481013,135695,112144,28632
United States Virgin Islands,3,"0.2 deaths per 100,000 per week trigger",0.75,0.208846,104423,6426,39,185,56,51,14
Uruguay,3,"0.2 deaths per 100,000 per week trigger",0.75,6.947454,3473727,237372,1209,5944,1830,1611,438
Uzbekistan,3,"0.2 deaths per 100,000 per week trigger",0.75,66.938398,33469199,2422678,6356,48914,14025,8573,2385
Vanuatu,3,"0.2 deaths per 100,000 per week trigger",0.75,0.6143,307150,17754,61,431,121,80,21
Venezuela (Bolivarian Republic of),3,"0.2 deaths per 100,000 per week trigger",0.75,56.871886,28435943,1930068,6081,37577,11208,8053,2124
Vietnam,3,"0.2 deaths per 100,000 per week trigger",0.75,194.677166,97338583,5574980,25994,166984,48139,34180,9077
Western Sahara,3,"0.2 deaths per 100,000 per week trigger",0.75,1.19466,597330,55077,170,1216,360,223,62
Yemen,3,"0.2 deaths per 100,000 per week trigger",0.75,59.651936,29825968,2516141,6630,45759,13635,9107,2504
Zambia,3,"0.2 deaths per 100,000 per week trigger",0.75,36.767912,18383956,2181808,5234,36604,11360,7024,2070
Zimbabwe,3,"0.2 deaths per 100,000 per week trigger",0.75,29.725854,14862927,1600768,4462,28960,8890,5826,1640
Afghanistan,3,"1.6 deaths per 100,000 per week trigger",0.75,622.853456,38928341,12492541,35740,231028,93549,46671,17463
Albania,3,"1.6 deaths per 100,000 per week trigger",0.75,46.0448,2877800,791708,3678,22518,9011,4908,1772
Algeria,3,"1.6 deaths per 100,000 per week trigger",0.75,701.616688,43851043,11844178,51775,335362,129273,68660,23767
Angola,3,"1.6 deaths per 100,000 per week trigger",0.75,525.860288,32866268,14015899,32104,228330,101100,42628,17255
Antigua and Barbuda,3,"1.6 deaths per 100,000 per week trigger",0.75,1.566848,97928,16595,67,388,139,87,29
Argentina,3,"1.6 deaths per 100,000 per week trigger",0.75,723.132432,45195777,10771885,47284,252448,98319,63057,22150
Armenia,3,"1.6 deaths per 100,000 per week trigger",0.75,47.411744,2963234,882093,3757,23823,9476,5010,1809
Aruba,3,"1.6 deaths per 100,000 per week trigger",0.75,1.708256,106766,24558,137,728,290,180,65
Australia,3,"1.6 deaths per 100,000 per week trigger",0.75,407.998096,25499881,6364134,30453,178754,68468,40158,13846
Austria,3,"1.6 deaths per 100,000 per week trigger",0.75,144.1024,9006400,1787891,9925,56037,20875,13144,4403
Azerbaijan,3,"1.6 deaths per 100,000 per week trigger",0.75,162.2268,10139175,3751721,12999,92747,38780,17181,6550
Bahamas,3,"1.6 deaths per 100,000 per week trigger",0.75,6.291968,393248,129218,505,3078,1301,662,256
Bahrain,3,"1.6 deaths per 100,000 per week trigger",0.75,27.225328,1701583,653420,2256,18215,7711,2974,1189
Bangladesh,3,"1.6 deaths per 100,000 per week trigger",0.75,2635.030128,164689383,47869670,197281,1198445,461468,264277,94005
Barbados,3,"1.6 deaths per 100,000 per week trigger",0.75,4.597936,287371,74457,479,2325,973,642,238
Belarus,3,"1.6 deaths per 100,000 per week trigger",0.75,151.189136,9449321,2857561,14226,86703,35254,18898,6871
Belgium,3,"1.6 deaths per 100,000 per week trigger",0.75,185.433856,11589616,3062489,21190,113802,43671,28298,9692
Belize,3,"1.6 deaths per 100,000 per week trigger",0.75,6.361936,397621,144480,432,2726,1167,566,222
Benin,3,"1.6 deaths per 100,000 per week trigger",0.75,193.971168,12123198,3863962,10842,71305,28402,14447,5238
Bhutan,3,"1.6 deaths per 100,000 per week trigger",0.75,12.345792,771612,168830,741,4252,1517,975,316
Bolivia,3,"1.6 deaths per 100,000 per week trigger",0.75,186.768464,11673029,3074798,10069,59263,23009,13566,4716
Bosnia and Herzegovina,3,"1.6 deaths per 100,000 per week trigger",0.75,52.49304,3280815,676479,3414,20763,7701,4539,1536
Botswana,3,"1.6 deaths per 100,000 per week trigger",0.75,37.626,2351625,780948,2573,16672,6659,3406,1241
Brazil,3,"1.6 deaths per 100,000 per week trigger",0.75,3400.950544,212559409,49599016,206087,1182457,460361,272916,97044
Brunei Darussalam,3,"1.6 deaths per 100,000 per week trigger",0.75,6.999728,437483,151838,659,4520,1832,869,327
Bulgaria,3,"1.6 deaths per 100,000 per week trigger",0.75,111.17512,6948445,1266255,6892,39682,14341,9113,2961
Burkina Faso,3,"1.6 deaths per 100,000 per week trigger",0.75,334.452448,20903278,7192476,17149,121390,49519,22848,8596
Burundi,3,"1.6 deaths per 100,000 per week trigger",0.75,190.252496,11890781,5194180,12284,85246,37615,16039,6586
Cabo Verde,3,"1.6 deaths per 100,000 per week trigger",0.75,8.895808,555988,198436,754,4596,1884,978,367
Cambodia,3,"1.6 deaths per 100,000 per week trigger",0.75,267.503536,16718971,5379295,20144,139277,56525,26309,9888
Cameroon,3,"1.6 deaths per 100,000 per week trigger",0.75,424.733824,26545864,10545849,26251,183822,78484,34822,13670
Canada,3,"1.6 deaths per 100,000 per week trigger",0.75,603.874512,37742157,7547937,45828,250266,91140,61084,20043
Central African Republic,3,"1.6 deaths per 100,000 per week trigger",0.75,77.276224,4829764,1580702,4035,27236,10937,5392,1983
Chad,3,"1.6 deaths per 100,000 per week trigger",0.75,262.813744,16425859,7074291,16469,113850,50849,21889,9052
Channel Islands,3,"1.6 deaths per 100,000 per week trigger",0.75,2.781744,173859,47063,256,1471,592,340,121
Chile,3,"1.6 deaths per 100,000 per week trigger",0.75,305.859344,19116209,4898942,24532,131122,53701,32685,11912
China,3,"1.6 deaths per 100,000 per week trigger",0.75,23029.18038,1439323774,380818659,2130919,13249047,4980780,2800348,949378
"Hong Kong SAR, China",3,"1.6 deaths per 100,000 per week trigger",0.75,119.951808,7496988,840739,9863,44260,14154,13147,3627
"Macao SAR, China",3,"1.6 deaths per 100,000 per week trigger",0.75,10.389472,649342,153824,913,5637,2061,1196,394
"China, Taiwan Province of China",3,"1.6 deaths per 100,000 per week trigger",0.75,381.0684,23816775,5556825,35834,208541,76920,47263,15469
Colombia,3,"1.6 deaths per 100,000 per week trigger",0.75,814.126144,50882884,9396845,35399,207846,75289,47565,15888
Comoros,3,"1.6 deaths per 100,000 per week trigger",0.75,13.91352,869595,307732,846,5788,2365,1121,426
"Congo, Rep.",3,"1.6 deaths per 100,000 per week trigger",0.75,88.289472,5518092,1838083,4813,33729,13567,6384,2366
Costa Rica,3,"1.6 deaths per 100,000 per week trigger",0.75,81.505824,5094114,1230399,5414,30053,11874,7166,2549
Cote d'Ivoire,3,"1.6 deaths per 100,000 per week trigger",0.75,422.0524,26378275,10180735,26328,181242,76759,34727,13706
Croatia,3,"1.6 deaths per 100,000 per week trigger",0.75,65.684288,4105268,1124214,6799,37028,15101,8977,3253
Cuba,3,"1.6 deaths per 100,000 per week trigger",0.75,181.225856,11326616,2672000,16875,84833,34586,22555,8152
Curacao,3,"1.6 deaths per 100,000 per week trigger",0.75,2.6256,164100,29401,181,890,333,242,81
Cyprus,3,"1.6 deaths per 100,000 per week trigger",0.75,19.317776,1207361,345825,1575,9775,3926,2110,766
Czechia,3,"1.6 deaths per 100,000 per week trigger",0.75,171.343712,10708982,2121329,10909,64506,23910,14468,4853
"Korea, Dem. People’s Rep.",3,"1.6 deaths per 100,000 per week trigger",0.75,412.46104,25778815,8429296,44555,276117,110979,58064,21202
"Congo, Dem. Rep.",3,"1.6 deaths per 100,000 per week trigger",0.75,1432.982464,89561404,28893669,76526,507173,203394,101773,37361
Denmark,3,"1.6 deaths per 100,000 per week trigger",0.75,92.675248,5792203,1705374,9853,53966,22362,13079,4799
Djibouti,3,"1.6 deaths per 100,000 per week trigger",0.75,15.808032,988002,338221,1189,7682,3108,1580,588
Dominican Republic,3,"1.6 deaths per 100,000 per week trigger",0.75,173.566464,10847904,3283642,11722,68431,27936,15264,5641
Ecuador,3,"1.6 deaths per 100,000 per week trigger",0.75,282.28896,17643060,4848509,16951,100219,39984,22497,8064
Egypt,3,"1.6 deaths per 100,000 per week trigger",0.75,1637.350448,102334403,37489323,139958,858847,358534,184412,70038
El Salvador,3,"1.6 deaths per 100,000 per week trigger",0.75,103.779216,6486201,1827341,6837,38772,15624,9006,3267
Equatorial Guinea,3,"1.6 deaths per 100,000 per week trigger",0.75,22.44776,1402985,621768,1460,10889,4834,1945,798
Eritrea,3,"1.6 deaths per 100,000 per week trigger",0.75,56.742832,3546427,1155789,3699,22669,9046,4934,1802
Estonia,3,"1.6 deaths per 100,000 per week trigger",0.75,21.224624,1326539,363654,2083,11480,4646,2789,1000
Eswatini,3,"1.6 deaths per 100,000 per week trigger",0.75,18.562624,1160164,368473,1134,7068,2788,1483,537
Ethiopia,3,"1.6 deaths per 100,000 per week trigger",0.75,1839.417328,114963583,46677790,135203,866170,374982,176975,69858
Fiji,3,"1.6 deaths per 100,000 per week trigger",0.75,14.343104,896444,271813,1126,7624,2996,1487,537
Finland,3,"1.6 deaths per 100,000 per week trigger",0.75,88.651488,5540718,1288219,7089,42430,16083,9455,3211
France,3,"1.6 deaths per 100,000 per week trigger",0.75,1044.376192,65273512,13733534,114526,555458,201193,153311,49037
French Guiana,3,"1.6 deaths per 100,000 per week trigger",0.75,4.778912,298682,145604,456,2980,1387,610,259
French Polynesia,3,"1.6 deaths per 100,000 per week trigger",0.75,4.494464,280904,77910,382,2440,931,504,173
Gabon,3,"1.6 deaths per 100,000 per week trigger",0.75,35.611648,2225728,684128,2041,13636,5360,2705,978
Gambia,3,"1.6 deaths per 100,000 per week trigger",0.75,38.666624,2416664,1014433,2430,17068,7485,3221,1307
Georgia,3,"1.6 deaths per 100,000 per week trigger",0.75,63.8268,3989175,924779,4251,25739,9726,5629,1910
Germany,3,"1.6 deaths per 100,000 per week trigger",0.75,1340.54312,83783945,19939326,148683,775379,291551,196038,65909
Ghana,3,"1.6 deaths per 100,000 per week trigger",0.75,497.16712,31072945,13380089,37539,261535,114101,49481,19926
Greece,3,"1.6 deaths per 100,000 per week trigger",0.75,166.768896,10423056,1842494,10957,59315,21621,14582,4703
Grenada,3,"1.6 deaths per 100,000 per week trigger",0.75,1.800304,112519,24762,102,577,222,136,47
Guadeloupe,3,"1.6 deaths per 100,000 per week trigger",0.75,6.402032,400127,81345,557,2568,999,737,250
Guam,3,"1.6 deaths per 100,000 per week trigger",0.75,2.700528,168783,45242,227,1396,533,303,104
Guatemala,3,"1.6 deaths per 100,000 per week trigger",0.75,286.649072,17915567,6988370,19902,122558,53516,26038,10274
Guinea,3,"1.6 deaths per 100,000 per week trigger",0.75,210.124672,13132792,5031293,13072,88026,37264,17235,6691
Guinea-Bissau,3,"1.6 deaths per 100,000 per week trigger",0.75,31.487968,1967998,713806,1838,12684,5267,2429,935
Guyana,3,"1.6 deaths per 100,000 per week trigger",0.75,12.584944,786559,257585,887,5376,2241,1188,450
Haiti,3,"1.6 deaths per 100,000 per week trigger",0.75,182.440528,11402533,4898851,14297,90639,40742,18858,7735
Honduras,3,"1.6 deaths per 100,000 per week trigger",0.75,158.473728,9904608,3025648,8515,53725,21712,11320,4192
Hungary,3,"1.6 deaths per 100,000 per week trigger",0.75,154.5656,9660350,3438229,20378,114235,50010,26997,10707
Iceland,3,"1.6 deaths per 100,000 per week trigger",0.75,5.46,341250,103217,496,2932,1191,657,242
India,3,"1.6 deaths per 100,000 per week trigger",0.75,22080.07016,1380004385,468704827,2085532,12362838,4974364,2783469,1007196
Indonesia,3,"1.6 deaths per 100,000 per week trigger",0.75,4376.377936,273523621,78845604,339539,2271395,871351,447211,155293
Iran (Islamic Republic of),3,"1.6 deaths per 100,000 per week trigger",0.75,1343.887248,83992953,33682850,152376,1005480,432018,200130,78533
Iraq,3,"1.6 deaths per 100,000 per week trigger",0.75,643.560048,40222503,10036401,32114,232132,88687,42873,15055
Ireland,3,"1.6 deaths per 100,000 per week trigger",0.75,79.004736,4937796,1455362,6500,40200,15961,8666,3087
Israel,3,"1.6 deaths per 100,000 per week trigger",0.75,138.488656,8655541,2860327,11521,69964,28771,15296,5629
Italy,3,"1.6 deaths per 100,000 per week trigger",0.75,967.389248,60461828,17264552,131378,672505,286619,174750,65997
Jamaica,3,"1.6 deaths per 100,000 per week trigger",0.75,47.378576,2961161,509114,1930,11144,3980,2581,832
Japan,3,"1.6 deaths per 100,000 per week trigger",0.75,2023.623328,126476458,20610477,143380,712619,261598,189285,60886
Jordan,3,"1.6 deaths per 100,000 per week trigger",0.75,163.25024,10203140,3097101,10769,76567,30458,14487,5258
Kazakhstan,3,"1.6 deaths per 100,000 per week trigger",0.75,300.427312,18776707,6503419,22379,153002,62429,29560,10737
Kenya,3,"1.6 deaths per 100,000 per week trigger",0.75,860.3408,53771300,23561108,57613,417515,182519,76014,30682
Kiribati,3,"1.6 deaths per 100,000 per week trigger",0.75,1.911136,119446,41719,148,1038,435,196,76
Kuwait,3,"1.6 deaths per 100,000 per week trigger",0.75,68.329008,4270563,1315322,5133,40669,16094,6858,2575
Kyrgyz Republic,3,"1.6 deaths per 100,000 per week trigger",0.75,104.387056,6524191,1828711,5026,37454,14246,6582,2315
Lao PDR,3,"1.6 deaths per 100,000 per week trigger",0.75,116.408896,7275556,2746538,9767,68221,29128,12921,5041
Latvia,3,"1.6 deaths per 100,000 per week trigger",0.75,30.179232,1886202,522127,3102,17072,6972,4132,1511
Lebanon,3,"1.6 deaths per 100,000 per week trigger",0.75,109.207072,6825442,1850338,8260,53921,20498,11106,3841
Lesotho,3,"1.6 deaths per 100,000 per week trigger",0.75,34.276032,2142252,808346,2883,17652,7428,3763,1441
Liberia,3,"1.6 deaths per 100,000 per week trigger",0.75,80.922832,5057677,1746870,4963,32778,13278,6585,2442
Libya,3,"1.6 deaths per 100,000 per week trigger",0.75,109.940592,6871287,2158800,8438,59047,23392,11109,4072
Lithuania,3,"1.6 deaths per 100,000 per week trigger",0.75,43.556656,2722291,708891,4344,23384,9399,5732,2035
Luxembourg,3,"1.6 deaths per 100,000 per week trigger",0.75,10.015616,625976,200400,966,6079,2480,1277,471
Madagascar,3,"1.6 deaths per 100,000 per week trigger",0.75,443.056304,27691019,8699415,24189,161533,63620,31637,11463
Malawi,3,"1.6 deaths per 100,000 per week trigger",0.75,306.07928,19129955,8072850,19646,136616,59517,26389,10661
Malaysia,3,"1.6 deaths per 100,000 per week trigger",0.75,517.855968,32365998,9817405,42814,286865,112648,57535,20674
Maldives,3,"1.6 deaths per 100,000 per week trigger",0.75,8.648672,540542,182826,671,4374,1786,891,335
Mali,3,"1.6 deaths per 100,000 per week trigger",0.75,324.013344,20250834,10462673,23986,168237,78644,31680,13616
Malta,3,"1.6 deaths per 100,000 per week trigger",0.75,7.064624,441539,120540,708,3900,1588,929,343
Martinique,3,"1.6 deaths per 100,000 per week trigger",0.75,6.00424,375265,84017,674,2980,1213,892,323
Mauritania,3,"1.6 deaths per 100,000 per week trigger",0.75,74.39456,4649660,1810801,5092,34416,14634,6713,2636
