Country,R0,Strategy,Social_distance,total_pop,total_infected,total_deaths,total_hospital,total_critical
Dominican Republic,2.4,Enhanced social distancing of elderly,34%,10847904,5023213,12403,94885,16444
Dominican Republic,2.7,Enhanced social distancing of elderly,38%,10847904,5569166,14648,108969,19424
Dominican Republic,3,Enhanced social distancing of elderly,42%,10847904,6076200,21169,133973,28070
Dominican Republic,3.3,Enhanced social distancing of elderly,45%,10847904,6464759,23627,146532,31322
Dominican Republic,2.4,Social distancing whole population,36%,10847904,5134852,20414,117879,27063
Dominican Republic,2.7,Social distancing whole population,40%,10847904,5676578,23166,133165,30707
Dominican Republic,3,Social distancing whole population,43%,10847904,6127665,25555,146329,33876
Dominican Republic,3.3,Social distancing whole population,46%,10847904,6508675,27646,157768,36661
Dominican Republic,2.4,Unmitigated,0%,10847904,8483595,39710,222156,52644
Dominican Republic,2.7,Unmitigated,0%,10847904,9056063,43690,242722,57920
Dominican Republic,3,Unmitigated,0%,10847904,9473559,46786,258426,62051
Dominican Republic,3.3,Unmitigated,0%,10847904,9782711,49216,270540,65254
Ecuador,2.4,Enhanced social distancing of elderly,34%,17643060,8151054,19921,153071,26409
Ecuador,2.7,Enhanced social distancing of elderly,38%,17643060,9040851,23534,175840,31200
Ecuador,3,Enhanced social distancing of elderly,42%,17643060,9867976,34079,216453,45178
Ecuador,3.3,Enhanced social distancing of elderly,45%,17643060,10501740,38047,236790,50470
Ecuador,2.4,Social distancing whole population,36%,17643060,8333545,32897,190567,43612
Ecuador,2.7,Social distancing whole population,40%,17643060,9216846,37346,215344,49523
Ecuador,3,Social distancing whole population,43%,17643060,9952723,41210,236685,54653
Ecuador,3.3,Social distancing whole population,46%,17643060,10573867,44586,255197,59116
Ecuador,2.4,Unmitigated,0%,17643060,13784683,63996,358957,84841
Ecuador,2.7,Unmitigated,0%,17643060,14719518,70418,392150,93365
Ecuador,3,Unmitigated,0%,17643060,15401072,75410,417461,99966
Ecuador,3.3,Unmitigated,0%,17643060,15906178,79329,436975,105164
Egypt,2.4,Enhanced social distancing of elderly,34%,102334403,56348097,140169,1103114,185825
Egypt,2.7,Enhanced social distancing of elderly,38%,102334403,61155916,159074,1220708,210956
Egypt,3,Enhanced social distancing of elderly,44%,102334403,64907093,214703,1429724,284742
Egypt,3.3,Enhanced social distancing of elderly,47%,102334403,68087459,232185,1521749,307798
Egypt,2.4,Social distancing whole population,37%,102334403,56251333,211731,1307569,280695
Egypt,2.7,Social distancing whole population,41%,102334403,61017008,230323,1422828,305376
Egypt,3,Social distancing whole population,45%,102334403,64869150,245417,1516453,325327
Egypt,3.3,Social distancing whole population,48%,102334403,68050849,257921,1594078,341925
Egypt,2.4,Unmitigated,0%,102334403,86914979,332672,2059077,441029
Egypt,2.7,Unmitigated,0%,102334403,91152645,349534,2164245,463368
Egypt,3,Unmitigated,0%,102334403,94102838,361233,2237309,479098
Egypt,3.3,Unmitigated,0%,102334403,96200339,369515,2289078,489965
El Salvador,2.4,Enhanced social distancing of elderly,34%,6486201,2975788,7602,56188,10079
El Salvador,2.7,Enhanced social distancing of elderly,38%,6486201,3299196,8998,64579,11928
El Salvador,3,Enhanced social distancing of elderly,42%,6486201,3606046,13244,80326,17556
El Salvador,3.3,Enhanced social distancing of elderly,45%,6486201,3837718,14820,87990,19653
El Salvador,2.4,Social distancing whole population,36%,6486201,3052511,12903,71335,17106
El Salvador,2.7,Social distancing whole population,40%,6486201,3374751,14660,80609,19435
El Salvador,3,Social distancing whole population,43%,6486201,3643191,16191,88608,21474
El Salvador,3.3,Social distancing whole population,46%,6486201,3869947,17534,95562,23248
El Salvador,2.4,Unmitigated,0%,6486201,5048386,25395,134981,33667
El Salvador,2.7,Unmitigated,0%,6486201,5391477,28046,147709,37187
El Salvador,3,Unmitigated,0%,6486201,5642343,30137,157501,39950
El Salvador,3.3,Unmitigated,0%,6486201,5828935,31803,165122,42160
Equatorial Guinea,2.4,Enhanced social distancing of elderly,34%,1402985,771715,1278,11904,1695
Equatorial Guinea,2.7,Enhanced social distancing of elderly,39%,1402985,836105,1425,13016,1889
Equatorial Guinea,3,Enhanced social distancing of elderly,44%,1402985,879077,1793,14576,2379
Equatorial Guinea,3.3,Enhanced social distancing of elderly,47%,1402985,921591,1906,15350,2527
Equatorial Guinea,2.4,Social distancing whole population,37%,1402985,756490,1739,13143,2305
Equatorial Guinea,2.7,Social distancing whole population,41%,1402985,821303,1864,14190,2471
Equatorial Guinea,3,Social distancing whole population,44%,1402985,873892,1961,15026,2600
Equatorial Guinea,3.3,Social distancing whole population,47%,1402985,917459,2040,15709,2704
Equatorial Guinea,2.4,Unmitigated,0%,1402985,1175404,2448,19525,3245
Equatorial Guinea,2.7,Unmitigated,0%,1402985,1235310,2525,20335,3348
Equatorial Guinea,3,Unmitigated,0%,1402985,1277483,2574,20880,3414
Equatorial Guinea,3.3,Unmitigated,0%,1402985,1307833,2606,21254,3457
Eritrea,2.4,Enhanced social distancing of elderly,35%,3546427,1989804,4132,32169,5478
Eritrea,2.7,Enhanced social distancing of elderly,39%,3546427,2153324,4671,35381,6193
Eritrea,3,Enhanced social distancing of elderly,44%,3546427,2276712,6347,41490,8414
Eritrea,3.3,Enhanced social distancing of elderly,47%,3546427,2384232,6842,43982,9070
Eritrea,2.4,Social distancing whole population,37%,3546427,1978667,6341,38499,8406
Eritrea,2.7,Social distancing whole population,41%,3546427,2141649,6854,41604,9086
Eritrea,3,Social distancing whole population,45%,3546427,2273014,7265,44093,9636
Eritrea,3.3,Social distancing whole population,48%,3546427,2381508,7604,46138,10082
Eritrea,2.4,Unmitigated,0%,3546427,3030114,9586,58049,12708
Eritrea,2.7,Unmitigated,0%,3546427,3171971,10004,60536,13267
Eritrea,3,Unmitigated,0%,3546427,3270416,10288,62215,13638
Eritrea,3.3,Unmitigated,0%,3546427,3340148,10485,63371,13900
Estonia,2.4,Enhanced social distancing of elderly,34%,1326539,568294,2203,16061,2920
Estonia,2.7,Enhanced social distancing of elderly,38%,1326539,627609,2611,18353,3461
Estonia,3,Enhanced social distancing of elderly,42%,1326539,692685,4022,23200,5334
Estonia,3.3,Enhanced social distancing of elderly,45%,1326539,737134,4562,25509,6049
Estonia,2.4,Social distancing whole population,36%,1326539,598852,4088,21268,5420
Estonia,2.7,Social distancing whole population,40%,1326539,660132,4687,24047,6215
Estonia,3,Social distancing whole population,43%,1326539,711034,5222,26464,6922
Estonia,3.3,Social distancing whole population,46%,1326539,754089,5703,28593,7560
Estonia,2.4,Unmitigated,0%,1326539,984649,8885,41663,11779
Estonia,2.7,Unmitigated,0%,1326539,1053212,10111,46279,13404
Estonia,3,Unmitigated,0%,1326539,1104741,11162,50064,14803
Estonia,3.3,Unmitigated,0%,1326539,1144324,12065,53201,16000
Eswatini,2.4,Enhanced social distancing of elderly,34%,1160164,655231,1292,10501,1712
Eswatini,2.7,Enhanced social distancing of elderly,39%,1160164,708854,1457,11529,1931
Eswatini,3,Enhanced social distancing of elderly,44%,1160164,748195,1960,13380,2599
Eswatini,3.3,Enhanced social distancing of elderly,47%,1160164,783351,2108,14158,2795
Eswatini,2.4,Social distancing whole population,37%,1160164,649519,1955,12355,2592
Eswatini,2.7,Social distancing whole population,41%,1160164,703082,2109,13342,2796
Eswatini,3,Social distancing whole population,45%,1160164,746238,2233,14131,2961
Eswatini,3.3,Social distancing whole population,48%,1160164,781784,2333,14776,3094
Eswatini,2.4,Unmitigated,0%,1160164,993018,2909,18493,3857
Eswatini,2.7,Unmitigated,0%,1160164,1039477,3029,19269,4017
Eswatini,3,Unmitigated,0%,1160164,1071586,3109,19790,4123
Eswatini,3.3,Unmitigated,0%,1160164,1094259,3165,20148,4195
Ethiopia,2.4,Enhanced social distancing of elderly,35%,114963583,64231695,122578,1002806,162505
Ethiopia,2.7,Enhanced social distancing of elderly,39%,114963583,69515414,137853,1099796,182747
Ethiopia,3,Enhanced social distancing of elderly,44%,114963583,73304498,182318,1267008,241801
Ethiopia,3.3,Enhanced social distancing of elderly,47%,114963583,76772885,195501,1339017,259228
Ethiopia,2.4,Social distancing whole population,37%,114963583,63502886,180157,1164449,238838
Ethiopia,2.7,Social distancing whole population,41%,114963583,68783976,194130,1256872,257440
Ethiopia,3,Social distancing whole population,45%,114963583,73048691,205246,1330695,272085
Ethiopia,3.3,Social distancing whole population,48%,114963583,76566099,214285,1390971,284061
Ethiopia,2.4,Unmitigated,0%,114963583,97701712,265429,1736905,351885
Ethiopia,2.7,Unmitigated,0%,114963583,102376081,275678,1807709,365447
Ethiopia,3,Unmitigated,0%,114963583,105633163,282448,1854906,374440
Ethiopia,3.3,Unmitigated,0%,114963583,107956391,287024,1887123,380690
Fiji,2.4,Enhanced social distancing of elderly,34%,896444,471811,1303,11345,1728
Fiji,2.7,Enhanced social distancing of elderly,38%,896444,513950,1484,12535,1968
Fiji,3,Enhanced social distancing of elderly,43%,896444,542033,2002,14489,2654
Fiji,3.3,Enhanced social distancing of elderly,46%,896444,569058,2174,15413,2882
Fiji,2.4,Social distancing whole population,37%,896444,468980,1989,13314,2637
Fiji,2.7,Social distancing whole population,41%,896444,509074,2170,14472,2876
Fiji,3,Social distancing whole population,44%,896444,541624,2318,15412,3073
Fiji,3.3,Social distancing whole population,47%,896444,568636,2441,16191,3237
Fiji,2.4,Unmitigated,0%,896444,728041,3176,20738,4210
Fiji,2.7,Unmitigated,0%,896444,765789,3349,21780,4442
Fiji,3,Unmitigated,0%,896444,792806,3471,22505,4602
Fiji,3.3,Unmitigated,0%,896444,812674,3558,23019,4717
Finland,2.4,Enhanced social distancing of elderly,35%,5540718,2438574,9505,72372,12601
Finland,2.7,Enhanced social distancing of elderly,39%,5540718,2678075,11108,81649,14725
Finland,3,Enhanced social distancing of elderly,43%,5540718,2944141,16711,101896,22166
Finland,3.3,Enhanced social distancing of elderly,46%,5540718,3122128,18823,111234,24964
Finland,2.4,Social distancing whole population,36%,5540718,2573918,17089,94953,22655
Finland,2.7,Social distancing whole population,40%,5540718,2820904,19401,106184,25730
Finland,3,Social distancing whole population,43%,5540718,3024120,21443,115825,28431
Finland,3.3,Social distancing whole population,46%,5540718,3194830,23269,124234,30845
Finland,2.4,Unmitigated,0%,5540718,4157497,36230,178884,48030
Finland,2.7,Unmitigated,0%,5540718,4423852,41029,197145,54384
Finland,3,Unmitigated,0%,5540718,4622437,45167,212138,59877
Finland,3.3,Unmitigated,0%,5540718,4774362,48760,224620,64673
France,2.4,Enhanced social distancing of elderly,33%,65273512,32561112,177332,1104981,235092
France,2.7,Enhanced social distancing of elderly,37%,65273512,35572346,206773,1241042,274241
France,3,Enhanced social distancing of elderly,43%,65273512,38920422,318650,1578916,422341
France,3.3,Enhanced social distancing of elderly,46%,65273512,41082974,355379,1713120,471094
France,2.4,Social distancing whole population,37%,65273512,34438692,332877,1514457,441301
France,2.7,Social distancing whole population,41%,65273512,37445134,370249,1668052,490811
France,3,Social distancing whole population,44%,65273512,39892051,402157,1796685,533139
France,3.3,Social distancing whole population,47%,65273512,41923786,429772,1906150,569982
France,2.4,Unmitigated,0%,65273512,53899241,621256,2618267,823608
France,2.7,Unmitigated,0%,65273512,56748753,677700,2812418,898814
France,3,Unmitigated,0%,65273512,58779677,722189,2960230,957524
France,3.3,Unmitigated,0%,65273512,60260460,757655,3074637,1004367
French Guiana,2.4,Enhanced social distancing of elderly,34%,298682,142781,301,2511,399
French Guiana,2.7,Enhanced social distancing of elderly,37%,298682,157832,352,2867,467
French Guiana,3,Enhanced social distancing of elderly,42%,298682,171198,489,3450,648
French Guiana,3.3,Enhanced social distancing of elderly,45%,298682,181730,541,3753,718
French Guiana,2.4,Social distancing whole population,35%,298682,144907,467,3021,619
French Guiana,2.7,Social distancing whole population,39%,298682,159760,526,3395,697
French Guiana,3,Social distancing whole population,42%,298682,172073,576,3715,764
French Guiana,3.3,Social distancing whole population,45%,298682,182435,620,3991,822
French Guiana,2.4,Unmitigated,0%,298682,235182,860,5491,1140
French Guiana,2.7,Unmitigated,0%,298682,250660,937,5966,1242
French Guiana,3,Unmitigated,0%,298682,261865,994,6322,1318
French Guiana,3.3,Unmitigated,0%,298682,270113,1038,6591,1377
French Polynesia,2.4,Enhanced social distancing of elderly,33%,280904,148456,483,4022,641
French Polynesia,2.7,Enhanced social distancing of elderly,37%,280904,162341,558,4490,741
French Polynesia,3,Enhanced social distancing of elderly,42%,280904,172174,792,5312,1050
French Polynesia,3.3,Enhanced social distancing of elderly,46%,280904,181003,873,5698,1157
French Polynesia,2.4,Social distancing whole population,36%,280904,149504,806,4927,1069
French Polynesia,2.7,Social distancing whole population,40%,280904,162324,890,5393,1180
French Polynesia,3,Social distancing whole population,44%,280904,172723,960,5777,1272
French Polynesia,3.3,Social distancing whole population,47%,280904,181334,1019,6098,1352
French Polynesia,2.4,Unmitigated,0%,280904,230430,1388,8006,1840
French Polynesia,2.7,Unmitigated,0%,280904,242372,1487,8489,1973
French Polynesia,3,Unmitigated,0%,280904,250835,1560,8834,2069
French Polynesia,3.3,Unmitigated,0%,280904,256989,1614,9086,2140
Gabon,2.4,Enhanced social distancing of elderly,34%,2225728,1230490,2472,21187,3277
Gabon,2.7,Enhanced social distancing of elderly,39%,2225728,1333561,2782,23292,3688
Gabon,3,Enhanced social distancing of elderly,44%,2225728,1407358,3647,26654,4835
Gabon,3.3,Enhanced social distancing of elderly,47%,2225728,1475167,3913,28208,5190
Gabon,2.4,Social distancing whole population,37%,2225728,1216055,3578,24222,4743
Gabon,2.7,Social distancing whole population,41%,2225728,1318900,3864,26239,5125
Gabon,3,Social distancing whole population,45%,2225728,1402114,4093,27862,5428
Gabon,3.3,Social distancing whole population,48%,2225728,1470886,4280,29197,5674
Gabon,2.4,Unmitigated,0%,2225728,1879501,5336,36931,7074
Gabon,2.7,Unmitigated,0%,2225728,1972271,5556,38610,7366
Gabon,3,Unmitigated,0%,2225728,2037168,5704,39754,7561
Gabon,3.3,Unmitigated,0%,2225728,2083570,5804,40549,7696
Gambia,2.4,Enhanced social distancing of elderly,35%,2416664,1336862,2208,19340,2927
Gambia,2.7,Enhanced social distancing of elderly,39%,2416664,1446531,2462,21117,3266
Gambia,3,Enhanced social distancing of elderly,44%,2416664,1520888,3136,23847,4158
Gambia,3.3,Enhanced social distancing of elderly,47%,2416664,1593092,3336,25099,4423
Gambia,2.4,Social distancing whole population,37%,2416664,1313148,3061,21739,4058
Gambia,2.7,Social distancing whole population,41%,2416664,1423527,3280,23405,4348
Gambia,3,Social distancing whole population,45%,2416664,1512880,3451,24728,4575
Gambia,3.3,Social distancing whole population,48%,2416664,1586757,3589,25803,4759
Gambia,2.4,Unmitigated,0%,2416664,2030107,4318,31797,5724
Gambia,2.7,Unmitigated,0%,2416664,2130724,4453,33004,5904
Gambia,3,Unmitigated,0%,2416664,2201563,4539,33801,6020
Gambia,3.3,Unmitigated,0%,2416664,2252544,4595,34338,6092
Georgia,2.4,Enhanced social distancing of elderly,35%,3989175,1811750,6050,47179,8020
Georgia,2.7,Enhanced social distancing of elderly,39%,3989175,1995739,7114,53621,9431
Georgia,3,Enhanced social distancing of elderly,43%,3989175,2186015,10565,66261,14006
Georgia,3.3,Enhanced social distancing of elderly,45%,3989175,2320666,11900,72459,15781
Georgia,2.4,Social distancing whole population,36%,3989175,1885923,10543,60035,13977
Georgia,2.7,Social distancing whole population,40%,3989175,2073497,12022,67557,15948
Georgia,3,Social distancing whole population,43%,3989175,2228750,13330,74057,17678
Georgia,3.3,Social distancing whole population,46%,3989175,2359444,14497,79733,19216
Georgia,2.4,Unmitigated,0%,3989175,3069934,22252,114804,29500
Georgia,2.7,Unmitigated,0%,3989175,3270757,25063,126464,33231
Georgia,3,Unmitigated,0%,3989175,3419398,27415,135820,36343
Georgia,3.3,Unmitigated,0%,3989175,3531664,29394,143409,38968
Germany,2.4,Enhanced social distancing of elderly,34%,83783945,39082310,196368,1323896,260329
Germany,2.7,Enhanced social distancing of elderly,38%,83783945,42888917,230241,1496819,305317
Germany,3,Enhanced social distancing of elderly,43%,83783945,47096496,350913,1887223,465308
Germany,3.3,Enhanced social distancing of elderly,46%,83783945,49873153,393716,2057112,521931
Germany,2.4,Social distancing whole population,37%,83783945,41357848,359743,1770509,476917
Germany,2.7,Social distancing whole population,41%,83783945,45175395,404773,1968275,536497
Germany,3,Social distancing whole population,44%,83783945,48310672,444017,2136792,588598
Germany,3.3,Social distancing whole population,47%,83783945,50934909,478622,2282438,634724
Germany,2.4,Unmitigated,0%,83783945,66105817,722405,3234026,957704
Germany,2.7,Unmitigated,0%,83783945,70008049,803387,3521899,1065053
Germany,3,Unmitigated,0%,83783945,72860295,870534,3749889,1154534
Germany,3.3,Unmitigated,0%,83783945,74995460,926777,3933293,1228728
Ghana,2.4,Enhanced social distancing of elderly,35%,31072945,17428811,34397,298503,45602
Ghana,2.7,Enhanced social distancing of elderly,39%,31072945,18862961,38519,327469,51068
Ghana,3,Enhanced social distancing of elderly,44%,31072945,19865493,49124,371082,65121
Ghana,3.3,Enhanced social distancing of elderly,47%,31072945,20805225,52461,391938,69570
Ghana,2.4,Social distancing whole population,37%,31072945,17183300,47538,335592,63022
Ghana,2.7,Social distancing whole population,41%,31072945,18618741,51219,363079,67909
Ghana,3,Social distancing whole population,45%,31072945,19777980,54142,385155,71809
Ghana,3.3,Social distancing whole population,48%,31072945,20736535,56523,403311,74942
Ghana,2.4,Unmitigated,0%,31072945,26449309,69815,508887,92556
Ghana,2.7,Unmitigated,0%,31072945,27716374,72468,531322,96087
Ghana,3,Unmitigated,0%,31072945,28597699,74214,546549,98380
Ghana,3.3,Unmitigated,0%,31072945,29223873,75388,557104,99938
Greece,2.4,Enhanced social distancing of elderly,34%,10423056,4322920,18340,129899,24313
Greece,2.7,Enhanced social distancing of elderly,38%,10423056,4787756,21842,149067,28973
Greece,3,Enhanced social distancing of elderly,42%,10423056,5309649,34127,189989,45258
Greece,3.3,Enhanced social distancing of elderly,45%,10423056,5662180,38839,209552,51479
Greece,2.4,Social distancing whole population,36%,10423056,4582434,34822,174072,46164
Greece,2.7,Social distancing whole population,39%,10423056,5065573,40076,197589,53137
Greece,3,Social distancing whole population,43%,10423056,5468304,44783,218148,59367
Greece,3.3,Social distancing whole population,46%,10423056,5809712,49034,236316,65004
Greece,2.4,Unmitigated,0%,10423056,7616202,76798,346607,101813
Greece,2.7,Unmitigated,0%,10423056,8168967,87776,386634,116363
Greece,3,Unmitigated,0%,10423056,8587116,97231,419649,128953
Greece,3.3,Unmitigated,0%,10423056,8910085,105400,447132,139747
Grenada,2.4,Enhanced social distancing of elderly,31%,112519,49078,144,1054,191
Grenada,2.7,Enhanced social distancing of elderly,35%,112519,54791,172,1223,227
Grenada,3,Enhanced social distancing of elderly,39%,112519,60294,251,1527,333
Grenada,3.3,Enhanced social distancing of elderly,42%,112519,64440,282,1683,375
Grenada,2.4,Social distancing whole population,33%,112519,50613,245,1345,325
Grenada,2.7,Social distancing whole population,37%,112519,56311,281,1534,372
Grenada,3,Social distancing whole population,41%,112519,61091,312,1699,414
Grenada,3.3,Social distancing whole population,43%,112519,65150,340,1844,451
Grenada,2.4,Unmitigated,0%,112519,83336,478,2545,634
Grenada,2.7,Unmitigated,0%,112519,89818,534,2821,708
Grenada,3,Unmitigated,0%,112519,94610,579,3036,767
Grenada,3.3,Unmitigated,0%,112519,98212,614,3205,814
Guadeloupe,2.4,Enhanced social distancing of elderly,32%,400127,159811,739,4431,980
Guadeloupe,2.7,Enhanced social distancing of elderly,36%,400127,178182,886,5166,1175
Guadeloupe,3,Enhanced social distancing of elderly,41%,400127,198850,1367,6767,1813
Guadeloupe,3.3,Enhanced social distancing of elderly,44%,400127,212781,1546,7502,2049
Guadeloupe,2.4,Social distancing whole population,35%,400127,169801,1362,6151,1806
Guadeloupe,2.7,Social distancing whole population,39%,400127,188583,1560,7013,2069
Guadeloupe,3,Social distancing whole population,42%,400127,204391,1736,7771,2301
Guadeloupe,3.3,Social distancing whole population,45%,400127,217870,1892,8441,2509
Guadeloupe,2.4,Unmitigated,0%,400127,286504,2808,12260,3723
Guadeloupe,2.7,Unmitigated,0%,400127,308868,3162,13685,4191
Guadeloupe,3,Unmitigated,0%,400127,325884,3457,14848,4586
Guadeloupe,3.3,Unmitigated,0%,400127,339068,3704,15807,4912
Guam,2.4,Enhanced social distancing of elderly,33%,168783,85303,279,2240,370
Guam,2.7,Enhanced social distancing of elderly,36%,168783,93586,325,2511,431
Guam,3,Enhanced social distancing of elderly,42%,168783,100018,475,3029,630
Guam,3.3,Enhanced social distancing of elderly,45%,168783,105446,528,3268,700
Guam,2.4,Social distancing whole population,36%,168783,86772,492,2840,653
Guam,2.7,Social distancing whole population,40%,168783,94438,547,3122,726
Guam,3,Social distancing whole population,43%,168783,100699,594,3358,788
Guam,3.3,Social distancing whole population,46%,168783,105918,634,3557,841
Guam,2.4,Unmitigated,0%,168783,134728,883,4717,1171
Guam,2.7,Unmitigated,0%,168783,142300,957,5041,1269
Guam,3,Unmitigated,0%,168783,147749,1013,5278,1343
Guam,3.3,Unmitigated,0%,168783,151768,1056,5454,1400
Guatemala,2.4,Enhanced social distancing of elderly,35%,17915567,8794775,16679,135591,22112
Guatemala,2.7,Enhanced social distancing of elderly,39%,17915567,9677214,19424,153473,25750
Guatemala,3,Enhanced social distancing of elderly,43%,17915567,10454162,27493,184710,36461
Guatemala,3.3,Enhanced social distancing of elderly,46%,17915567,11067217,30370,199947,40267
Guatemala,2.4,Social distancing whole population,36%,17915567,8906849,26733,164383,35440
Guatemala,2.7,Social distancing whole population,40%,17915567,9779815,29918,183243,39668
Guatemala,3,Social distancing whole population,43%,17915567,10500066,32627,199168,43252
Guatemala,3.3,Social distancing whole population,46%,17915567,11104053,34956,212773,46340
Guatemala,2.4,Unmitigated,0%,17915567,14396873,48661,291012,64510
Guatemala,2.7,Unmitigated,0%,17915567,15277144,52659,313140,69806
Guatemala,3,Unmitigated,0%,17915567,15911285,55651,329431,73797
Guatemala,3.3,Unmitigated,0%,17915567,16376622,57920,341591,76814
Guinea,2.4,Enhanced social distancing of elderly,35%,13132792,7316955,12784,107755,16948
Guinea,2.7,Enhanced social distancing of elderly,39%,13132792,7915729,14298,117828,18958
Guinea,3,Enhanced social distancing of elderly,44%,13132792,8333020,18430,134249,24432
Guinea,3.3,Enhanced social distancing of elderly,47%,13132792,8726375,19657,141493,26059
Guinea,2.4,Social distancing whole population,37%,13132792,7210381,18048,122974,23926
Guinea,2.7,Social distancing whole population,41%,13132792,7811011,19374,132452,25684
Guinea,3,Social distancing whole population,45%,13132792,8296390,20420,139989,27081
Guinea,3.3,Social distancing whole population,48%,13132792,8698357,21266,146136,28202
Guinea,2.4,Unmitigated,0%,13132792,11110311,25858,180637,34281
Guinea,2.7,Unmitigated,0%,13132792,11647808,26727,187519,35449
Guinea,3,Unmitigated,0%,13132792,12023860,27283,192043,36173
Guinea,3.3,Unmitigated,0%,13132792,12293594,27648,195093,36650
Guinea-Bissau,2.4,Enhanced social distancing of elderly,35%,1967998,1098953,1908,16625,2529
Guinea-Bissau,2.7,Enhanced social distancing of elderly,39%,1967998,1188899,2131,18180,2825
Guinea-Bissau,3,Enhanced social distancing of elderly,44%,1967998,1251294,2727,20622,3616
Guinea-Bissau,3.3,Enhanced social distancing of elderly,47%,1967998,1310345,2905,21731,3852
Guinea-Bissau,2.4,Social distancing whole population,37%,1967998,1082350,2662,18814,3529
Guinea-Bissau,2.7,Social distancing whole population,41%,1967998,1172640,2856,20278,3788
Guinea-Bissau,3,Social distancing whole population,45%,1967998,1245577,3009,21443,3989
Guinea-Bissau,3.3,Social distancing whole population,48%,1967998,1305778,3132,22391,4152
Guinea-Bissau,2.4,Unmitigated,0%,1967998,1665984,3795,27734,5031
Guinea-Bissau,2.7,Unmitigated,0%,1967998,1746620,3920,28817,5196
Guinea-Bissau,3,Unmitigated,0%,1967998,1802967,4000,29533,5303
Guinea-Bissau,3.3,Unmitigated,0%,1967998,1843251,4052,30018,5374
Guyana,2.4,Enhanced social distancing of elderly,34%,786559,367386,887,6894,1176
Guyana,2.7,Enhanced social distancing of elderly,38%,786559,406871,1045,7904,1385
Guyana,3,Enhanced social distancing of elderly,42%,786559,443189,1489,9652,1974
Guyana,3.3,Enhanced social distancing of elderly,45%,786559,471170,1658,10542,2197
Guyana,2.4,Social distancing whole population,36%,786559,374924,1430,8477,1895
Guyana,2.7,Social distancing whole population,39%,786559,414075,1619,9564,2146
Guyana,3,Social distancing whole population,43%,786559,446617,1783,10498,2365
Guyana,3.3,Social distancing whole population,46%,786559,474070,1927,11308,2555
Guyana,2.4,Unmitigated,0%,786559,615600,2744,15838,3637
Guyana,2.7,Unmitigated,0%,786559,656868,3012,17292,3995
Guyana,3,Unmitigated,0%,786559,686908,3220,18399,4269
Guyana,3.3,Unmitigated,0%,786559,709163,3382,19252,4483
Haiti,2.4,Enhanced social distancing of elderly,35%,11402533,5554223,10896,89784,14445
Haiti,2.7,Enhanced social distancing of elderly,39%,11402533,6121119,12707,101934,16845
Haiti,3,Enhanced social distancing of elderly,43%,11402533,6621241,17824,122625,23641
Haiti,3.3,Enhanced social distancing of elderly,46%,11402533,7015916,19695,132960,26119
Haiti,2.4,Social distancing whole population,36%,11402533,5628094,17170,108371,22762
Haiti,2.7,Social distancing whole population,40%,11402533,6188132,19257,121155,25540
Haiti,3,Social distancing whole population,43%,11402533,6650835,21035,131985,27891
Haiti,3.3,Social distancing whole population,46%,11402533,7039651,22569,141280,29918
Haiti,2.4,Unmitigated,0%,11402533,9132705,31462,194362,41710
Haiti,2.7,Unmitigated,0%,11402533,9700804,34086,209723,45186
Haiti,3,Unmitigated,0%,11402533,10110407,36048,221086,47788
Haiti,3.3,Unmitigated,0%,11402533,10411027,37530,229598,49776
Honduras,2.4,Enhanced social distancing of elderly,35%,9904608,4810574,9490,78163,12581
Honduras,2.7,Enhanced social distancing of elderly,38%,9904608,5304735,11073,88762,14686
Honduras,3,Enhanced social distancing of elderly,43%,9904608,5737379,15559,106551,20625
Honduras,3.3,Enhanced social distancing of elderly,45%,9904608,6081048,17194,115511,22793
Honduras,2.4,Social distancing whole population,36%,9904608,4869468,15004,93960,19892
Honduras,2.7,Social distancing whole population,40%,9904608,5357233,16831,105079,22312
Honduras,3,Social distancing whole population,43%,9904608,5760392,18386,114495,24374
Honduras,3.3,Social distancing whole population,46%,9904608,6099073,19723,122562,26157
Honduras,2.4,Unmitigated,0%,9904608,7914408,27412,168266,36341
Honduras,2.7,Unmitigated,0%,9904608,8411056,29682,181516,39366
Honduras,3,Unmitigated,0%,9904608,8769235,31374,191294,41600
Honduras,3.3,Unmitigated,0%,9904608,9032238,32649,198597,43281
"Hong Kong SAR, China",2.4,Enhanced social distancing of elderly,27%,7496988,4342046,31060,183003,41177
"Hong Kong SAR, China",2.7,Enhanced social distancing of elderly,31%,7496988,4731832,35741,203600,47396
"Hong Kong SAR, China",3,Enhanced social distancing of elderly,41%,7496988,4902140,50708,241819,67235
"Hong Kong SAR, China",3.3,Enhanced social distancing of elderly,45%,7496988,5131532,55266,258081,73263
"Hong Kong SAR, China",2.4,Social distancing whole population,37%,7496988,4284870,52304,229690,69340
"Hong Kong SAR, China",2.7,Social distancing whole population,41%,7496988,4632384,56750,248764,75213
"Hong Kong SAR, China",3,Social distancing whole population,45%,7496988,4911415,60346,264142,79995
"Hong Kong SAR, China",3.3,Social distancing whole population,48%,7496988,5140487,63318,276815,83974
"Hong Kong SAR, China",2.4,Unmitigated,0%,7496988,6508912,81551,353691,108113
"Hong Kong SAR, China",2.7,Unmitigated,0%,7496988,6798070,85546,370310,113409
"Hong Kong SAR, China",3,Unmitigated,0%,7496988,6995095,88319,381774,117133
